original_id,wiki_id,wiki_name,match_score
soul of reason,Q58586437,The Terms ‘Ground of the Soul’ and ‘Sparkle of Reason’ in Eckhart and Aquinas,32.0
new york university,Q49210,New York University,100.0
new york university,Q49210,New York University,100.0
new york,Q60,New York City,100.0
new york,Q60,New York City,100.0
american,Q32396,American Airlines,100.0
new york city,Q60,New York City,100.0
puerto rican,Q893594,Puerto Ricans,96.0
puerto rican,Q893594,Puerto Ricans,96.0
america,Q30,United States of America,100.0
bronx,Q18426,The Bronx,100.0
bronx,Q18426,The Bronx,100.0
bronx,Q18426,The Bronx,100.0
black studies,Q37542,Africana studies,100.0
black studies,Q37542,Africana studies,100.0
black studies,Q37542,Africana studies,100.0
black,Q23445,black,100.0
black,Q23445,black,100.0
black,Q23445,black,100.0
black,Q23445,black,100.0
black,Q23445,black,100.0
black,Q23445,black,100.0
african,Q1075929,African people,100.0
spanish,Q1321,Spanish,100.0
spanish,Q1321,Spanish,100.0
puerto ricans,Q893594,Puerto Ricans,100.0
puerto ricans,Q893594,Puerto Ricans,100.0
broadway,Q11260,Broadway,100.0
broadway,Q11260,Broadway,100.0
weeksville,Q4163943,Weeksville,100.0
weeksville,Q4163943,Weeksville,100.0
harlem,Q189074,Harlem,100.0
harlem,Q189074,Harlem,100.0
the united states,Q30,United States of America,100.0
the south bronx,Q2404798,South Bronx,85.0
afro-american,Q49085,African Americans,100.0
european,Q10491425,European,100.0
afro-american,Q49085,African Americans,100.0
la mama,Q2655090,Ellen Stewart,100.0
la mama,Q2655090,Ellen Stewart,100.0
la mama,Q2655090,Ellen Stewart,100.0
aminu,Q471859,Aminu,100.0
english,Q1860,English,100.0
brooklyn,Q18419,Brooklyn,100.0
english,Q1860,English,100.0
schomburg,Q19969752,Schomburg,100.0
the institute of afro-american,Q7945473,W. E. B. Du Bois Research Institute,68.0
schomburg,Q19969752,Schomburg,100.0
roscoe c. brown jr.,Q7367496,Roscoe Brown,100.0
brown,Q4488,Clancy Brown,100.0
manhattan,Q11299,Manhattan,100.0
genovese,Q238128,Kitty Genovese,100.0
genovese,Q238128,Kitty Genovese,100.0
genovese,Q238128,Kitty Genovese,100.0
hispanic,Q1211934,Hispanic,100.0
roscoe,Q139639,Roscoe,100.0
africa,Q15,Africa,100.0
pal,Q24558,Pal,100.0
americans,Q498438,The Americans,100.0
nbc,Q13974,NBC,100.0
nigeria,Q1033,Nigeria,100.0
roscoe c. brown,Q7367496,Roscoe Brown,100.0
south,Q667,south,100.0
boys club,Q4952605,Boys' Club,100.0
masons,Q1582933,Masons,100.0
masons,Q1582933,Masons,100.0
masons,Q1582933,Masons,100.0
europe,Q46,Europe,100.0
british,Q842438,Britons,100.0
carter,Q23685,Jimmy Carter,100.0
the parks department,Q78549965,flag of the New York City Department of Parks and Recreation,78.0
hispanics,Q58669,Hispanic and Latino Americans,100.0
terry,Q44176,Hulk Hogan,100.0
terry,Q44176,Hulk Hogan,100.0
italian,Q652,Italian,100.0
the boys clubs of america,Q74495028,Boys' clubs of America,91.0
puerto rico,Q1183,Puerto Rico,100.0
new orleans,Q34404,New Orleans,100.0
the boys club,Q7719743,The Boys Club,100.0
capital formation,Q5035700,Capital formation,100.0
newport,Q18523,Newport County A.F.C.,100.0
macbeth,Q130283,Macbeth,100.0
macbeth,Q130283,Macbeth,100.0
washington,Q23,George Washington,100.0
atlanta,Q23556,Atlanta,100.0
newport,Q18523,Newport County A.F.C.,100.0
macbeth,Q130283,Macbeth,100.0
chicago,Q1297,Chicago,100.0
jr.,Q492313,Park Jin-young,100.0
solomon,Q37085,Solomon,100.0
western,Q160381,Western world,100.0
black america,Q34501929,Black America,100.0
mississippi,Q1494,Mississippi,100.0
city college,Q154447,College City,100.0
vy higginsen,Q28731193,Vy Higginsen,100.0
the black theatre alliance,Q65073897,Black Theatre Alliance,92.0
detroit,Q12439,Detroit,100.0
philip morris,Q445007,Altria,100.0
mississippi,Q1494,Mississippi,100.0
mark,Q18185,grade,100.0
eric foner,Q3056269,Eric Foner,100.0
caribbean,Q664609,Caribbean,100.0
los angeles,Q65,Los Angeles,100.0
eric perkins,Q64751962,Eric Gerard Perkins,77.0
barbara montgomery,Q4859166,Barbara Montgomery,100.0
long island,Q18438,Long Island,100.0
long island,Q18438,Long Island,100.0
new jersey,Q1408,New Jersey,100.0
lady macbeth,Q48614,Lady Macbeth of the Mtsensk District,100.0
central park,Q160409,Central Park,100.0
caribbean,Q664609,Caribbean,100.0
kathleen,Q602145,Kathleen,100.0
john,Q44015,John the Apostle,100.0
bedford-stuyvesant,Q1156982,Bedford–Stuyvesant,100.0
soho,Q124010,Soho,100.0
soho,Q124010,Soho,100.0
125th street,Q173672,125th Street,100.0
shakespeare,Q692,William Shakespeare,100.0
junior,Q129265,Junior,100.0
black american,Q49085,African Americans,97.0
duke ellington,Q4030,Duke Ellington,100.0
duke ellington,Q4030,Duke Ellington,100.0
congress,Q10225,Indian National Congress,100.0
the new york times,Q9684,The New York Times,100.0
bedford-stuyvesant,Q1156982,Bedford–Stuyvesant,100.0
benny goodman,Q46755,Benny Goodman,100.0
robert earl jones,Q2004418,Robert Earl Jones,100.0
new yorkers,Q16053976,New Yorkers,100.0
newark,Q25395,Newark,100.0
french,Q150,French,100.0
french,Q150,French,100.0
unique ny,Q100883185,Unique McLean,73.0
new york state,Q1384,New York,100.0
watergate,Q42761,Watergate scandal,100.0
harlem opera,Q23091760,Harlem Opera House,80.0
newark,Q25395,Newark,100.0
jesus,Q302,Jesus,100.0
harlem opera,Q23091760,Harlem Opera House,80.0
unique ny,Q100883185,Unique McLean,73.0
roscoe brown,Q7367496,Roscoe Brown,100.0
the harlem renaissance,Q829895,Harlem Renaissance,90.0
the harlem renaissance,Q829895,Harlem Renaissance,90.0
bible,Q1845,Bible,100.0
michigan,Q1166,Michigan,100.0
langston hughes,Q188093,Langston Hughes,100.0
bible,Q1845,Bible,100.0
indian,Q876323,Indian Airlines,100.0
ellen stewart,Q2655090,Ellen Stewart,100.0
gary,Q157322,Romain Gary,100.0
connie ford,Q33817558,52 Genetic Loci Influencing Myocardial Mass.,30.0
howard,Q103646,Ron Howard,100.0
earth,Q2,Earth,100.0
the civil war,Q8676,American Civil War,100.0
ebony,Q156005,ebony,100.0
ebony,Q156005,ebony,100.0
kansas city,Q41819,Kansas City,100.0
gary,Q157322,Romain Gary,100.0
german,Q183,Germany,100.0
german,Q183,Germany,100.0
linda bryant,Q6551597,Linda Goode Bryant,80.0
engerman,Q2331687,Stanley Engerman,100.0
england,Q21,England,100.0
general foods,Q445007,Altria,100.0
ebony,Q156005,ebony,100.0
california,Q99,California,100.0
othello,Q26833,Othello,100.0
negro,Q23445,black,100.0
negro,Q23445,black,100.0
paul robeson,Q273233,Paul Robeson,100.0
alabama,Q173,Alabama,100.0
queens,Q18424,Queens,100.0
musa,Q503,banana,100.0
othello,Q26833,Othello,100.0
paul robeson,Q273233,Paul Robeson,100.0
west,Q679,west,100.0
prince hall,Q978424,Prince Hall,100.0
othello,Q26833,Othello,100.0
philadelphia,Q1345,Philadelphia,100.0
north,Q659,north,100.0
the police athletic league,Q7209420,Police Athletic League,92.0
florence,Q2044,Florence,100.0
florence,Q2044,Florence,100.0
duke,Q40531,John Wayne,100.0
rod rodgers,Q68837768,Thermal stability of myosin rod from various species,29.0
irish,Q9142,Irish,100.0
the community development agency,Q5154724,Community Development and Relief Agency,85.0
bill gunn,Q862154,Bill Gunn,100.0
martin,Q22920,Martin,100.0
martin,Q22920,Martin,100.0
mary lou williams,Q126677,Mary Lou Williams,100.0
marxist,Q26233653,marxist,100.0
george,Q3816,George Sand,100.0
north,Q659,north,100.0
rod rodgers,Q68837768,Thermal stability of myosin rod from various species,29.0
fogel,Q237821,Robert Fogel,100.0
new york university dr.,Q69343091,Dr. Vaughan honored by New York University,70.0
romare,Q33036321,Romare,100.0
newport jazz festival,Q577042,Newport Jazz Festival,100.0
oic,Q47543,Organisation of Islamic Cooperation,100.0
ogbu,Q1701244,John Ogbu,100.0
romare,Q33036321,Romare,100.0
fogel,Q237821,Robert Fogel,100.0
ellington,Q594221,Ellington,100.0
duke,Q40531,John Wayne,100.0
ellington,Q594221,Ellington,100.0
aminu kano,Q4746475,Aminu Kano,100.0
