entity,entity_type,frequency,doc_id,match_id,match_name,match_score
soul of reason,WORK_OF_ART,324,"['RG_9_8_110', 'RG_9_8_110', 'RG_9_8_110', 'RG_9_8_110', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_85', 'RG_9_8_85', 'RG_9_8_85', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_207', 'RG_9_8_207', 'RG_9_8_207', 'RG_9_8_207', 'RG_9_8_207', 'RG_9_8_207', 'RG_9_8_207', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_192', 'RG_9_8_192', 'RG_9_8_192', 'RG_9_8_192', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_118', 'RG_9_8_118', 'RG_9_8_118', 'RG_9_8_118', 'RG_9_8_118', 'RG_9_8_118', 'RG_9_8_118', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_134', 'RG_9_8_134', 'RG_9_8_134', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98']",Q106642437,Soul of Reason,100.0
new york university,ORG,193,"['RG_9_8_110', 'RG_9_8_110', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_85', 'RG_9_8_85', 'RG_9_8_85', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_207', 'RG_9_8_207', 'RG_9_8_207', 'RG9_8_100', 'RG9_8_100', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_192', 'RG_9_8_192', 'RG_9_8_192', 'RG_9_8_192', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_118', 'RG_9_8_118', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_134', 'RG_9_8_134', 'RG_9_8_134', 'RG_9_8_134', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98']",Q49210,New York University,100.0
new york university,FAC,193,['RG_9_8_52'],Q49210,New York University,100.0
new york,GPE,176,"['RG_9_8_110', 'RG_9_8_110', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_56', 'RG_9_8_56', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_111', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_204', 'RG_9_8_199', 'RG_9_8_207', 'RG_9_8_207', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG_9_8_148', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_192', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_39', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_132', 'RG_9_8_133', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG9-8_ref4330', 'RG_9_8_67', 'RG_9_8_121']",Q60,New York City,100.0
new york,ORG,176,['RG_9_8_187'],Q60,New York City,100.0
the institute of afro-american affairs,ORG,125,"['RG_9_8_110', 'RG_9_8_110', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG9-8_ref4328', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_43', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_78', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_204', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_207', 'RG_9_8_207', 'RG_9_8_207', 'RG9_8_100', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_185', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_192', 'RG_9_8_192', 'RG_9_8_192', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_118', 'RG_9_8_118', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_134', 'RG_9_8_134', 'RG_9_8_134', 'RG_9_8_134', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4330', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_121']",,,
american,NORP,108,"['RG_9_8_42', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_26', 'RG_9_8_185', 'RG_9_8_186', 'RG_9_8_187', 'RG_9_8_144', 'RG_9_8_39', 'RG_9_8_208', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_118', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_134', 'RG_9_8_134', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_98']",Q32396,American Airlines,100.0
new york city,GPE,108,"['RG_9_8_110', 'RG_9_8_110', 'RG_9_8_110', 'RG_9_8_110', 'RG_9_8_110', 'RG_9_8_110', 'RG_9_8_110', 'RG_9_8_110', 'RG_9_8_42', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_82', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_55', 'RG_9_8_40', 'RG_9_8_97', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_199', 'RG_9_8_207', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG_9_8_26', 'RG_9_8_201', 'RG_9_8_185', 'RG_9_8_192', 'RG_9_8_187', 'RG_9_8_144', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_209', 'RG_9_8_125', 'RG_9_8_118', 'RG_9_8_118', 'RG_9_8_89', 'RG_9_8_132', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_134', 'RG_9_8_67']",Q60,New York City,100.0
puerto rican,PERSON,94,"['RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_40', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_89']",Q893594,Puerto Ricans,96.0
puerto rican,NORP,94,"['RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_111', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_204', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_144', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_121']",Q893594,Puerto Ricans,96.0
