digi_id,title,description,date,transcriber name,transcript status
RG_9_8_134,"Gunn, Bill -- Playwright and Director of the <emph render=""italic"">Black Picture Show</emph>","Dr. Roscoe C. Brown, Jr. and Bill Gunn discuss the mid-life crisis theme present in Gunn's play the <emph render=""italic"">Black Picture Show</emph>, performed at the Vivian Beaumont Theater.",1973-03-25,Preservation,Reviewed
RG_9_8_144,"Sparks, George and William Alston -- Grand Master of the King George Grand Lodge and Publisher of the<emph render=""italic""> Long Island Courier</emph>","Dr. Roscoe C. Brown, Jr., George Sparks, and William Alston discuss the role of the Black mason.",1975-09-23,Digital Lab,Reviewed
RG_9_8_182,"Patterson, John, Jr. -- President of the South Bronx Economic Development Corporation","Dr. Roscoe C. Brown, Jr. and John Patterson, Jr. discuss the Bronx businesses aided by the South Bronx Economic Decvelopment Corporation.",1976-06-30,Digital Lab,Reviewed
RG_9_8_185,"Martin, Bob -- Director of Communications for the Capital Formation Corporation","Dr. Roscoe C. Brown, Jr. and Bob Martin discuss the successes and failures of Black business and the future of Black economic development.",1974-07-17,Digital Lab,Finished
RG_9_8_196,"Bullock, Kathleen, Mark Millander, and Terry Smith -- Students from the New York City Executive High School Intern Program","Dr. Roscoe C. Brown, Jr. and students Kathleen Bullock, Mark Millander, and Terry Smith discuss the professional development opportunities made available by the New York City Executive High School Intern Program.",1976-01-21,Preservation,Reviewed
RG_9_8_199,"Alston, Dr. Lester -- Clinical Psychologist and Associate Professor of Education at Baruch College of the City University of New York","Dr. Roscoe C. Brown, Jr. and Dr. Lester Alston discuss mental health issues in the Black community.",1977-01-12,Preservation,Reviewed
RG_9_8_201,"Byer, Lavenia, Jeanette Fields, and Andrew Henderson -- Coordinator, Chairperson and Consultant from the Freedom Funds United Foundation","Dr. Roscoe C. Brown, Jr., Lavenia Byer, Andrew Henderson, and Jeanette Fields speak about the programs of the Freedom Funds Cultural Train, which were developed to bring the Black community together and to create a more positive image of the community.",1977-09-13,Digital Lab,Finished
RG_9_8_207,"Sullivan, Maxine -- Singer","Dr. Roscoe C. Brown, Jr. and singer Maxine Sullivan discuss Sullivan's singing career and the history of Black music.",1974-03-12,Digital Lab,Reviewed
RG_9_8_208,"Williams, Mary Lou -- Jazz Pianist","Dr. Roscoe C. Brown, Jr. and Mary Lou Williams discuss contemporary music and the golden ages of jazz.",1974-04-16,Digital Lab,Reviewed
RG_9_8_209,"Patterson, Basil -- Vice Chairman of the Democratic National Committee","Dr. Roscoe C. Brown, Jr. and Basil Patterson discuss the Black political scene after Watergate.",1974-04-23,Preservation,Reviewed
RG_9_8_26,"Jordan, Richard -- Director of the Urban Services Division of the Boys Clubs of America","Dr. Roscoe C. Brown, Jr. and Richard Jordan discuss how the urban divisions of the Boys Clubs of American seek to offer youths an alternative residence, a home away from home, as well as access to other services and leisurely activities.",1977-10-13,Digital Lab,Reviewed
RG_9_8_39,"Archer, Lee -- Director of Equal Opportunity of Affairs of the General Foods Corporation and Chairman of the North Street Capital Corporation","Dr. Roscoe C. Brown, Jr. and Lee Archer discuss how Black business executives are coping with the recession.",1975-06-24,Preservation,Reviewed
RG_9_8_40,"Goodwin, Steven -- Investment Executive and Investment Counselor at Hayden Stone and Company","Dr. Roscoe C. Brown, Jr. and Steven Goodwin discuss the basic principles of the stock market and why the Black community should be interested in the market.",1974-12-17,Digital Lab,Finished
RG_9_8_52,"Boyd, Dr. Robert -- Associate Professor of Dentistry and Chairman of the Minority Recruitment Committee at the Brookdale Dental Center for the NYU College of Dentistry","Dr. Roscoe C. Brown, Jr. and Dr. Robert Boyd discuss the number of Black dentists in the New York area and recruiting minorities to the dental professions.",1974-02-05,Digital Lab,Finished
RG_9_8_56,"Barron, Allan -- Editor and Publisher of <emph render=""italic"">Black Sports Magazine</emph>","Dr. Roscoe C. Brown, Jr. and Allan Barron discuss some of the persisting, negative racial attitudes in sports despite the growing number of successful Black athletes.",1977-07-20,Digital Lab,Reviewed
RG_9_8_67,"Carter, Dr. Ralph D. -- Assistant Professor of History at Livingston College of Rutgers University","Dr. Roscoe C. Brown, Jr. and Dr. Ralph D. Carter discuss the Black community's participation in and perspective on the American Bicentennial.",1976-09-26,Digital Lab,Reviewed
RG_9_8_85,"Murray, James P. -- Film critic, Film Editor of the <emph render=""italic"">New York Amsterdam News</emph>, and Editor of <emph render=""italic"">Black Creation</emph>","Dr. Roscoe C. Brown, Jr. and James P. Murray discuss the business aspect of the entertainment industry, including how commercialism affects the relationship between Black performing artists and business entrepreneurs.",1973-08-19,Digital Lab,Finished
RG_9_8_89,"Jordan, Richard -- Director of National Urban Services for the Boys Club of America","Dr. Roscoe C. Brown, Jr. and Richard Jordan discuss the commitment of the Boys Clubs of America to inner-city, minority youth.",1975-02-18,Digital Lab,Reviewed
RG_9_8_94,"Anglada, Mario -- Executive Director of ASPIRA of New York","Dr. Roscoe C. Brown, Jr. and Mario Anglada discuss social problems of Puerto Rican youth, including competition between Blacks and Puerto Ricans for educational funding. They also discuss how non-profit organizations like ASPIRA can help with these issues.",1973-11-13,Digital Lab,Reviewed
RG_9_8_97,"Figueroa, Jose-Angel -- Poet and Author of the Book <emph render=""italic"">East 110th Street</emph>","Dr. Roscoe C. Brown, Jr. and Jose-Angel Figueroa discuss Figueroa's thoughts, feelings, and experiences of East Harlem (El Barrio), which are also included in his book <emph render=""italic"">East 110th Street</emph>.",1973-12-30,Digital Lab,Reviewed
RG_9_8_98,"Taylor, Cecil -- Musician","Dr. Roscoe C. Brown, Jr. and Cecil Taylor discuss the themes, forms, and meanings of Black music.",1973-11-27,Digital Lab,Reviewed
RG_9_8_155,"Jeffries, Dr. Leonard -- Director of Black Studies at the City College of New York","Dr. Roscoe C. Brown, Jr. and Dr. Leonard Jeffries discuss the future of Black Studies and which courses seem to be most successful for students.",1974-12-11,Leila Carbonell,Finished
RG_9_8_187,"Sandler, Joan -- Executive Director of the Black Theatre Alliance","Dr. Roscoe C. Brown, Jr. and Joan Sandler discuss the fall season of Black theater in New York, as well as what goals can be met when theaters come together through collectives like the Black Theatre Alliance.",1974-10-09,Preservation,Finished
RG_9_8_192,"Neal, James -- Representative from National Artists Coalition, Inc.","Dr. Roscoe C. Brown, Jr. and James Neale discuss themes in contemporary Black art, as well as how the public can help Black artists.",1974-10-02,Preservation,Finished
RG9-8_ref4324,"Montgomery, Barbara--Actress from La MaMa Experimental Theatre Club's <emph render=""italic"">Macbeth</emph>","Dr. Roscoe C. Brown, Jr. and actress Barbara Montgomery discuss La MaMa's <emph render=""italic"">Macbeth</emph> production.",1977-05-04,Nicole D'Andrea,Finished
